short_description,date_posted,post_time_hour_24h,day_of_week,niche_category,content_format,content_format_clean,hook_style,trending_sound_used,video_duration_seconds,views,likes,comments,shares,saves_or_favorites,engagement_rate,performance_label,followers_gained,watch_time_percentage,avg_watch_time_seconds,hashtag_1,hashtag_2,hashtag_3,total_hashtag_count
My experience: How to find cheaper flights,14/11/2025,08:13,Friday,Travel Hacks,text_overlay,text_overlay,Story,1,41.64,62910,2704,562,228,34,0.05608,Medium,1,20.24%,7.5,travelhacks,cheapflights,workvisa,3
Approval rate tips - Packing hack that saves space,11/01/2026,13:37,Sunday,Travel Hacks,voiceover,voiceover,Statistic,0,40.39,57517,2583,243,475,586,0.06758,High,2,19.80%,6.91,budgettravel,packinghacks,creatorsearchinsight,5
Approval rate tips - 3 documents you must not forget,02/01/2026,12:53,Friday,Visa Application Tips,text_overlay,text_overlay,Statistic,0,47.32,89267,4142,750,720,56,0.063495,High,3,15.63%,8.39,travelvisa,visaguide,visa,4
Cost breakdown you need - Travel hack for long layovers,14/11/2025,09:18,Friday,Travel Hacks,voiceover,voiceover,Statistic,1,36.61,79556,3626,792,508,43,0.062459,High,8,4.00%,1.0,traveltips,budgettravel,traveltips,3
What to do in one day?,04/12/2025,09:48,Thursday,Destination Guides,voiceover,voiceover,Question,0,77.12,210211,7412,1604,1521,375,0.05191,Medium,5,13.71%,11.64,travelguide,destination,creatorsearchinsight,4
Important update - Save money on baggage fees,28/12/2025,12:18,Sunday,Travel Hacks,text_overlay,text_overlay,Dramatic,0,12.61,34513,1034,155,107,35,0.038565,Medium,1,16.95%,1.68,packinghacks,travelhacks,creatorsearchinsight,3
How to: Perfect itinerary for first-timers,26/11/2025,11:30,Wednesday,Destination Guides,voiceover,voiceover,Tutorial,0,39.87,66075,3522,627,491,52,0.07101,High,7,27.64%,12.49,thingstodo,travelguide,creatorsearchinsight,5
Hotel booking trick?,13/12/2025,17:13,Saturday,Travel Hacks,text_overlay,text_overlay,Question,0,37.59,90410,3738,879,669,52,0.059042,Medium,9,22.17%,6.94,traveltips,budgettravel,travel,3
How to: Travel hack for long layovers,14/01/2026,11:53,Wednesday,Travel Hacks,voiceover,voiceover,Tutorial,1,22.52,263873,12593,2514,1639,932,0.066994,High,24,23.49%,6.47,cheapflights,budgettravel,cheapflights,4
Save up to 40% on fees - Step-by-step visa process explained,03/11/2025,14:06,Monday,Visa Application Tips,text_overlay,text_overlay,Statistic,0,13.6,32524,1449,344,84,63,0.059648,Medium,1,17.58%,1.0,immigration,visatips,studyabroad,4
Approval rate tips - How much it costs to travel here,10/11/2025,15:13,Monday,Budget Travel,text_overlay,text_overlay,Statistic,0,30.05,70925,2929,543,418,367,0.060021,High,3,15.92%,5.47,travelonabudget,traveltips,travelonabudget,4
How to: Food spots you must try,26/01/2026,10:58,Monday,Destination Guides,voiceover,voiceover,Tutorial,0,32.97,66792,3104,574,301,607,0.068661,High,4,23.02%,6.74,destination,hiddengems,studyabroad,4
Stop scrolling - What to do in one day,27/11/2025,09:48,Thursday,Destination Guides,voiceover,voiceover,Dramatic,0,16.28,199292,6911,1103,401,81,0.042631,Medium,15,29.63%,3.6,hiddengems,visit,travel,5
Approval rate tips - Perfect itinerary for first-timers,13/12/2025,07:24,Saturday,Destination Guides,voiceover,voiceover,Statistic,1,52.29,7701,259,60,32,24,0.048695,Medium,1,23.79%,13.19,travelguide,hiddengems,relocation,3
How to: Travel hack for long layovers,05/12/2025,20:41,Friday,Travel Hacks,screen_recording,screen_recording,Tutorial,0,35.41,281015,13735,2117,2290,804,0.06742,High,25,19.61%,6.39,budgettravel,travelhacks,budgettravel,5
Stop scrolling - Perfect itinerary for first-timers,31/12/2025,20:24,Wednesday,Destination Guides,voiceover,voiceover,Dramatic,0,30.74,113430,3810,834,625,208,0.048285,Medium,4,20.15%,5.54,hiddengems,destination,relocation,3
How to: Affordable destinations for 2026,12/11/2025,12:24,Wednesday,Budget Travel,voiceover,voiceover,Tutorial,0,18.1,87570,4594,834,675,60,0.070378,High,4,22.02%,4.15,travelsavings,travelonabudget,travelsavings,5
My experience: Hidden gems you should not miss,28/11/2025,09:18,Friday,Destination Guides,voiceover,voiceover,Story,0,37.86,253578,9656,1795,763,1004,0.052126,Medium,13,21.76%,9.43,visit,destination,visa,3
Save up to 40% on fees - Visa application checklist,20/11/2025,11:41,Thursday,Visa Application Tips,screen_recording,screen_recording,Statistic,1,38.81,313413,17477,1216,2191,995,0.069809,High,10,25.84%,11.45,travelvisa,visatips,workvisa,3
Important update - Common visa rejection reasons,29/11/2025,07:00,Saturday,Visa Application Tips,text_overlay,text_overlay,Dramatic,1,16.91,81355,2918,613,283,38,0.047348,Medium,8,14.05%,2.49,immigration,travelvisa,relocation,3
Step-by-step visa process explained?,05/11/2025,17:58,Wednesday,Visa Application Tips,screen_recording,screen_recording,Question,1,34.61,108586,4953,1418,848,71,0.067136,High,9,19.40%,6.48,visa,visatips,visa,4
How to: Common visa rejection reasons,25/01/2026,08:48,Sunday,Visa Application Tips,voiceover,voiceover,Tutorial,0,47.91,144067,5923,938,1178,1198,0.064116,High,8,12.42%,4.89,visa,visatips,workvisa,3
Visa application checklist?,25/01/2026,19:24,Sunday,Visa Application Tips,voiceover,voiceover,Question,0,58.25,62746,2564,768,339,34,0.059048,Medium,4,15.96%,10.75,visatips,visa,creatorsearchinsight,4
Don’t do this - Travel hack for long layovers,25/11/2025,17:24,Tuesday,Travel Hacks,voiceover,voiceover,Dramatic,0,66.22,55269,1800,362,125,67,0.042592,Medium,3,30.88%,21.16,budgettravel,traveltips,budgettravel,5
How to: How to find cheaper flights,06/12/2025,16:00,Saturday,Travel Hacks,text_overlay,text_overlay,Tutorial,1,8.54,28746,1241,236,171,82,0.060182,High,2,5.77%,1.16,travelhacks,traveltips,travelhacks,3
Don’t do this - Travel hack for long layovers,17/01/2026,14:24,Saturday,Travel Hacks,screen_recording,screen_recording,Dramatic,0,33.77,212739,7566,807,1269,696,0.048595,Medium,12,9.64%,4.34,cheapflights,travelhacks,workvisa,3
Visa interview questions to prepare for?,28/12/2025,12:13,Sunday,Visa Application Tips,voiceover,voiceover,Question,0,34.89,150851,7123,1468,520,736,0.065276,High,9,22.12%,6.62,visa,visatips,visa,4
3 documents you must not forget?,07/01/2026,14:53,Wednesday,Visa Application Tips,voiceover,voiceover,Question,1,21.55,79611,3890,843,548,211,0.068985,High,6,24.01%,6.1,visatips,visa,creatorsearchinsight,4
Don’t do this - Perfect itinerary for first-timers,25/01/2026,07:06,Sunday,Destination Guides,voiceover,voiceover,Dramatic,1,16.78,87195,2564,822,324,449,0.047698,Medium,6,19.95%,3.76,hiddengems,thingstodo,creatorsearchinsight,4
Important update - Visa application checklist,01/01/2026,09:30,Thursday,Visa Application Tips,voiceover,voiceover,Dramatic,0,58.71,41353,1340,253,264,106,0.047469,Medium,2,19.84%,10.45,visaguide,visa,relocation,5
Approval rate tips - Visa application checklist,26/11/2025,19:58,Wednesday,Visa Application Tips,voiceover,voiceover,Statistic,0,19.58,28262,1014,306,219,162,0.060187,High,3,17.84%,3.21,travelvisa,visa,studyabroad,3
How to: How to travel with $50/day,21/11/2025,12:06,Friday,Budget Travel,text_overlay,text_overlay,Tutorial,1,15.77,69711,3567,503,512,45,0.066374,High,4,24.52%,2.69,cheaptravel,travelonabudget,travel,3
Cost breakdown you need - Packing hack that saves space,12/01/2026,13:00,Monday,Travel Hacks,text_overlay,text_overlay,Statistic,0,12.63,27837,1008,161,175,231,0.056579,Medium,2,26.54%,3.05,budgettravel,packinghacks,creatorsearchinsight,3
What to do in one day?,02/12/2025,20:30,Tuesday,Destination Guides,screen_recording,screen_recording,Question,0,55.08,26722,1039,114,116,97,0.051119,Medium,1,12.47%,7.34,visit,thingstodo,creatorsearchinsight,3
How to: Food spots you must try,24/01/2026,08:00,Saturday,Destination Guides,voiceover,voiceover,Tutorial,0,42.28,81726,3318,848,557,275,0.061156,High,2,13.03%,5.92,hiddengems,travelguide,creatorsearchinsight,5
My experience: Affordable destinations for 2026,29/11/2025,09:24,Saturday,Budget Travel,voiceover,voiceover,Story,0,11.85,101823,3581,1121,599,53,0.052581,Medium,4,6.30%,1.08,travelsavings,travelonabudget,travelsavings,4
Important update - Common visa rejection reasons,04/12/2025,10:41,Thursday,Visa Application Tips,voiceover,voiceover,Dramatic,1,39.24,195809,7176,1241,927,1394,0.054839,Medium,18,28.87%,9.97,travelvisa,visatips,visa,5
Food spots you must try?,14/01/2026,17:58,Wednesday,Destination Guides,screen_recording,screen_recording,Question,0,35.4,157414,7252,1459,891,90,0.06157,High,4,33.42%,10.34,thingstodo,visit,workvisa,5
How to: Packing hack that saves space,18/11/2025,13:24,Tuesday,Travel Hacks,voiceover,voiceover,Tutorial,1,39.19,40051,1774,376,222,425,0.069836,High,3,25.51%,10.37,traveltips,travelhacks,traveltips,3
Packing hack that saves space?,06/01/2026,22:13,Tuesday,Travel Hacks,voiceover,voiceover,Question,0,34.05,129549,6756,942,568,588,0.068345,High,3,16.86%,4.74,travelhacks,traveltips,studyabroad,3
Don’t do this - Common visa rejection reasons,09/11/2025,16:53,Sunday,Visa Application Tips,voiceover,voiceover,Dramatic,1,39.85,67942,2618,422,288,593,0.057711,Medium,6,15.78%,4.93,travelvisa,visatips,studyabroad,4
How to: Affordable destinations for 2026,26/12/2025,15:18,Friday,Budget Travel,voiceover,voiceover,Tutorial,1,8.84,46786,2179,254,278,181,0.061813,High,5,28.11%,2.91,cheaptravel,budgettravel,workvisa,3
Step-by-step visa process explained?,08/01/2026,22:37,Thursday,Visa Application Tips,text_overlay,text_overlay,Question,1,82.38,50389,2174,307,238,101,0.055965,Medium,4,6.92%,6.72,visatips,visaguide,relocation,3
My experience: Top places to visit in 48 hours,18/11/2025,08:58,Tuesday,Destination Guides,voiceover,voiceover,Story,1,38.48,496312,19476,5783,2418,247,0.056263,Medium,11,20.09%,6.43,destination,hiddengems,travel,5
My experience: Food spots you must try,01/01/2026,10:10,Thursday,Destination Guides,text_overlay,text_overlay,Story,1,33.7,660988,27662,4852,3963,3006,0.059733,Medium,56,10.68%,2.39,thingstodo,visit,visa,4
How to: Step-by-step visa process explained,06/01/2026,10:24,Tuesday,Visa Application Tips,screen_recording,screen_recording,Tutorial,0,13.0,22643,1004,303,151,25,0.065495,High,1,16.04%,1.99,visaguide,visa,relocation,3
Top places to visit in 48 hours?,05/01/2026,15:48,Monday,Destination Guides,voiceover,voiceover,Question,0,26.36,7489,291,47,30,41,0.054613,Medium,0,18.25%,6.14,thingstodo,hiddengems,studyabroad,3
My experience: Hidden gems you should not miss,18/12/2025,13:18,Thursday,Destination Guides,voiceover,voiceover,Story,1,76.84,152425,6035,764,480,486,0.050943,Medium,14,23.42%,17.28,destination,thingstodo,studyabroad,5
What to do in one day?,28/01/2026,15:48,Wednesday,Destination Guides,voiceover,voiceover,Question,1,39.08,80825,3198,793,434,672,0.063062,High,4,29.99%,10.91,thingstodo,hiddengems,visa,4
Visa application checklist?,20/12/2025,11:10,Saturday,Visa Application Tips,voiceover,voiceover,Question,1,22.78,148311,7208,1259,1175,710,0.069799,High,13,17.13%,4.79,travelvisa,immigration,travel,3
My experience: Step-by-step visa process explained,02/12/2025,20:58,Tuesday,Visa Application Tips,voiceover,voiceover,Story,0,13.75,127272,4917,951,658,67,0.051802,Medium,10,17.16%,2.58,travelvisa,visa,relocation,5
Approval rate tips - Food spots you must try,29/12/2025,07:48,Monday,Destination Guides,text_overlay,text_overlay,Statistic,0,34.7,36109,1471,184,216,290,0.059847,Medium,2,30.40%,11.62,thingstodo,visit,thingstodo,3
What to do in one day?,18/12/2025,17:30,Thursday,Destination Guides,voiceover,voiceover,Question,0,25.67,36254,1409,314,202,207,0.058807,Medium,2,18.22%,5.4,thingstodo,destination,workvisa,3
Save money on baggage fees?,07/01/2026,14:30,Wednesday,Travel Hacks,voiceover,voiceover,Question,0,30.2,87028,3799,919,525,216,0.062727,High,3,4.00%,1.09,travelhacks,packinghacks,studyabroad,5
My experience: Budget breakdown for a 7-day trip,30/11/2025,15:58,Sunday,Budget Travel,voiceover,voiceover,Story,0,42.46,248610,10527,1382,799,2473,0.061064,High,10,24.67%,10.11,travelonabudget,cheaptravel,studyabroad,3
Cost breakdown you need - Hotel booking trick,18/11/2025,18:53,Tuesday,Travel Hacks,voiceover,voiceover,Statistic,1,39.35,176206,7192,1596,798,975,0.059936,Medium,13,19.20%,7.8,traveltips,travelhacks,relocation,4
Step-by-step visa process explained?,10/01/2026,16:13,Saturday,Visa Application Tips,voiceover,voiceover,Question,1,50.2,87215,3804,525,541,111,0.057112,Medium,3,6.34%,3.17,visatips,visaguide,relocation,3
How to: Visa application checklist,12/12/2025,21:58,Friday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,38.36,103186,5372,1351,712,72,0.072752,High,9,17.29%,6.82,travelvisa,immigration,studyabroad,4
How to: Step-by-step visa process explained,24/12/2025,11:24,Wednesday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,7.36,35428,1294,317,244,304,0.06094,High,3,22.37%,1.0,immigration,visaguide,immigration,5
Top places to visit in 48 hours?,23/01/2026,22:06,Friday,Destination Guides,voiceover,voiceover,Question,0,38.31,174114,6721,1435,309,1546,0.057497,Medium,8,21.12%,7.58,hiddengems,thingstodo,workvisa,5
Food spots you must try?,09/01/2026,19:48,Friday,Destination Guides,text_overlay,text_overlay,Question,1,53.18,237889,8807,1300,811,485,0.047934,Medium,17,6.18%,2.23,destination,travelguide,travel,3
Low-cost itinerary tips?,24/11/2025,20:00,Monday,Budget Travel,text_overlay,text_overlay,Question,1,51.32,104767,4553,1033,529,95,0.059274,Medium,6,4.00%,1.51,traveltips,budgettravel,studyabroad,5
Visa application checklist?,14/11/2025,09:53,Friday,Visa Application Tips,text_overlay,text_overlay,Question,0,43.78,29648,1699,194,139,20,0.069212,High,3,23.27%,10.1,visatips,visaguide,creatorsearchinsight,3
My experience: Top places to visit in 48 hours,19/11/2025,09:18,Wednesday,Destination Guides,voiceover,voiceover,Story,1,22.04,49504,1997,325,264,74,0.053733,Medium,4,5.68%,1.64,visit,hiddengems,creatorsearchinsight,5
Common visa rejection reasons?,27/12/2025,22:53,Saturday,Visa Application Tips,text_overlay,text_overlay,Question,1,46.2,106383,4727,983,512,739,0.065433,High,11,25.74%,10.89,visatips,travelvisa,relocation,3
My experience: Travel hack for long layovers,02/11/2025,11:48,Sunday,Travel Hacks,voiceover,voiceover,Story,1,26.25,44915,1907,233,349,137,0.058466,Medium,3,8.60%,3.25,traveltips,cheapflights,studyabroad,5
My experience: How much it costs to travel here,13/01/2026,11:18,Tuesday,Budget Travel,text_overlay,text_overlay,Story,1,15.03,45792,1886,350,337,71,0.057739,Medium,4,5.33%,2.23,traveltips,travelonabudget,visa,5
How to: Save money on baggage fees,20/12/2025,21:41,Saturday,Travel Hacks,voiceover,voiceover,Tutorial,0,55.83,163547,7218,563,1048,1629,0.063945,High,15,17.43%,8.5,travelhacks,packinghacks,studyabroad,5
My experience: Top places to visit in 48 hours,20/11/2025,14:00,Thursday,Destination Guides,voiceover,voiceover,Story,1,38.84,237640,8833,2436,957,1371,0.057217,Medium,14,27.55%,11.97,travelguide,visit,relocation,4
Save up to 40% on fees - Visa application checklist,28/12/2025,11:18,Sunday,Visa Application Tips,voiceover,voiceover,Statistic,1,30.31,158648,6856,1327,1103,1143,0.065737,High,8,13.71%,5.19,visa,visaguide,creatorsearchinsight,3
My experience: Budget breakdown for a 7-day trip,25/01/2026,19:10,Sunday,Budget Travel,voiceover,voiceover,Story,1,87.3,32834,1085,193,88,91,0.044375,Medium,1,13.49%,11.62,cheaptravel,travelsavings,travel,3
Perfect itinerary for first-timers?,26/11/2025,16:48,Wednesday,Destination Guides,voiceover,voiceover,Question,1,14.26,44314,1543,326,226,200,0.05179,Medium,4,18.78%,2.95,travelguide,destination,visa,4
How to: How to find cheaper flights,19/01/2026,18:58,Monday,Travel Hacks,voiceover,voiceover,Tutorial,0,42.11,84579,4637,768,692,429,0.077159,High,5,19.21%,7.01,travelhacks,cheapflights,travelhacks,3
How to: Hotel booking trick,23/12/2025,14:10,Tuesday,Travel Hacks,text_overlay,text_overlay,Tutorial,1,39.42,398314,19903,3950,3462,2466,0.074768,High,30,17.43%,5.45,packinghacks,budgettravel,packinghacks,3
How to: Packing hack that saves space,17/12/2025,20:18,Wednesday,Travel Hacks,screen_recording,screen_recording,Tutorial,1,14.73,39430,1508,335,229,243,0.058712,Medium,4,23.36%,4.94,travelhacks,cheapflights,visa,4
My experience: 3 documents you must not forget,23/12/2025,13:18,Tuesday,Visa Application Tips,voiceover,voiceover,Story,0,60.48,90672,3290,435,503,240,0.049277,Medium,3,25.87%,15.86,visa,immigration,relocation,3
My experience: How to travel with $50/day,06/01/2026,20:58,Tuesday,Budget Travel,screen_recording,screen_recording,Story,1,56.42,41013,1478,354,300,21,0.052496,Medium,3,18.77%,11.84,travelsavings,travelonabudget,visa,5
How to: Visa interview questions to prepare for,28/12/2025,09:06,Sunday,Visa Application Tips,text_overlay,text_overlay,Tutorial,1,24.92,212154,9511,1265,1654,1623,0.06624,High,9,12.16%,2.6,immigration,visaguide,workvisa,3
Stop scrolling - What to do in one day,04/11/2025,07:06,Tuesday,Destination Guides,voiceover,voiceover,Dramatic,0,37.96,575157,17693,3903,2483,788,0.043235,Medium,43,36.75%,15.23,hiddengems,travelguide,hiddengems,5
Cost breakdown you need - Travel hack for long layovers,15/01/2026,14:13,Thursday,Travel Hacks,voiceover,voiceover,Statistic,1,55.76,19206,737,170,92,63,0.055295,Medium,1,20.43%,10.33,budgettravel,traveltips,budgettravel,3
My experience: How to find cheaper flights,22/12/2025,08:24,Monday,Travel Hacks,voiceover,voiceover,Story,0,44.12,118138,3812,1278,847,994,0.058669,Medium,12,5.35%,2.41,packinghacks,traveltips,packinghacks,4
How to: How to find cheaper flights,06/11/2025,08:53,Thursday,Travel Hacks,voiceover,voiceover,Tutorial,1,37.57,483338,27606,4190,4351,355,0.075521,High,52,6.52%,2.81,cheapflights,packinghacks,relocation,5
Budget breakdown for a 7-day trip?,30/12/2025,11:37,Tuesday,Budget Travel,voiceover,voiceover,Question,1,44.26,86177,3204,469,425,835,0.057243,Medium,3,21.45%,8.37,travelsavings,traveltips,workvisa,4
Visa application checklist?,10/12/2025,07:13,Wednesday,Visa Application Tips,voiceover,voiceover,Question,0,54.15,72993,2910,707,345,681,0.063609,High,3,12.14%,6.08,visaguide,travelvisa,workvisa,4
Hidden gems you should not miss?,24/01/2026,08:41,Saturday,Destination Guides,screen_recording,screen_recording,Question,1,19.85,108356,4102,777,414,53,0.049337,Medium,6,13.43%,2.33,travelguide,hiddengems,relocation,5
Save up to 40% on fees - Save money on baggage fees,20/01/2026,11:30,Tuesday,Travel Hacks,voiceover,voiceover,Statistic,1,24.1,141622,7292,669,815,86,0.062575,High,3,29.21%,8.15,cheapflights,travelhacks,studyabroad,4
My experience: Save money on baggage fees,03/01/2026,19:37,Saturday,Travel Hacks,screen_recording,screen_recording,Story,0,35.69,98708,3680,989,461,612,0.058172,Medium,6,26.68%,8.92,traveltips,cheapflights,workvisa,4
My experience: Visa interview questions to prepare for,09/12/2025,16:41,Tuesday,Visa Application Tips,voiceover,voiceover,Story,1,78.24,182244,7791,1502,1064,568,0.059947,Medium,10,35.00%,27.75,visaguide,travelvisa,studyabroad,4
Approval rate tips - Visa interview questions to prepare for,22/12/2025,21:48,Monday,Visa Application Tips,voiceover,voiceover,Statistic,1,7.54,17215,726,129,111,27,0.057682,Medium,1,25.74%,3.14,visaguide,visatips,travel,4
My experience: Top places to visit in 48 hours,04/01/2026,13:30,Sunday,Destination Guides,voiceover,voiceover,Story,0,14.07,56045,1855,419,252,245,0.049442,Medium,4,27.28%,2.89,destination,travelguide,visa,5
How much it costs to travel here?,22/01/2026,11:48,Thursday,Budget Travel,voiceover,voiceover,Question,0,38.29,217520,8970,1761,1274,173,0.055986,Medium,15,11.72%,3.58,cheaptravel,travelsavings,workvisa,5
Common visa rejection reasons?,05/11/2025,15:53,Wednesday,Visa Application Tips,screen_recording,screen_recording,Question,0,37.01,88526,4174,806,634,612,0.07033,High,9,28.40%,9.31,visaguide,visatips,visa,3
How to travel with $50/day?,29/12/2025,16:30,Monday,Budget Travel,voiceover,voiceover,Question,1,41.46,166918,6977,1735,954,94,0.058472,Medium,17,22.79%,9.76,travelonabudget,budgettravel,travel,5
Cost breakdown you need - Budget breakdown for a 7-day trip,17/12/2025,10:24,Wednesday,Budget Travel,voiceover,voiceover,Statistic,1,40.68,196995,7614,1572,1340,435,0.055641,Medium,10,16.59%,6.85,travelonabudget,budgettravel,creatorsearchinsight,4
3 documents you must not forget?,27/12/2025,21:13,Saturday,Visa Application Tips,voiceover,voiceover,Question,0,15.52,132892,6447,1372,941,87,0.066573,High,7,14.40%,1.21,travelvisa,visaguide,relocation,5
How to: Step-by-step visa process explained,17/11/2025,10:53,Monday,Visa Application Tips,voiceover,voiceover,Tutorial,0,55.13,57808,3047,539,277,73,0.068087,High,4,23.41%,12.95,immigration,visaguide,creatorsearchinsight,5
Common visa rejection reasons?,31/01/2026,16:06,Saturday,Visa Application Tips,text_overlay,text_overlay,Question,1,41.64,351337,17411,2255,2219,220,0.062917,High,11,16.77%,6.16,travelvisa,immigration,visa,4
My experience: Top places to visit in 48 hours,22/12/2025,18:53,Monday,Destination Guides,screen_recording,screen_recording,Story,1,19.12,73140,2240,612,333,400,0.049016,Medium,3,12.26%,1.14,hiddengems,thingstodo,relocation,5
Cost breakdown you need - Save money on baggage fees,26/12/2025,18:00,Friday,Travel Hacks,voiceover,voiceover,Statistic,0,47.34,35528,1422,277,137,317,0.0606,High,3,18.13%,7.42,packinghacks,travelhacks,packinghacks,5
3 documents you must not forget?,12/11/2025,18:30,Wednesday,Visa Application Tips,voiceover,voiceover,Question,0,48.15,94625,3733,1087,670,513,0.06344,High,5,12.28%,5.74,visaguide,travelvisa,workvisa,3
How to: Travel hack for long layovers,02/12/2025,08:10,Tuesday,Travel Hacks,screen_recording,screen_recording,Tutorial,1,26.35,122961,4992,995,686,1361,0.065338,High,7,10.38%,2.31,traveltips,budgettravel,travel,3
How much it costs to travel here?,10/01/2026,20:10,Saturday,Budget Travel,voiceover,voiceover,Question,0,36.68,85938,4226,1017,409,56,0.06642,High,3,34.72%,13.27,travelonabudget,traveltips,travelonabudget,3
Budget breakdown for a 7-day trip?,11/01/2026,09:00,Sunday,Budget Travel,voiceover,voiceover,Question,1,14.08,26539,1118,269,118,17,0.05735,Medium,3,15.21%,1.0,travelonabudget,budgettravel,relocation,5
Cost breakdown you need - Hidden gems you should not miss,03/12/2025,14:06,Wednesday,Destination Guides,voiceover,voiceover,Statistic,1,36.51,290984,11595,1712,2506,2078,0.061484,High,6,17.40%,5.27,visit,thingstodo,visa,4
My experience: Travel hack for long layovers,03/12/2025,14:00,Wednesday,Travel Hacks,text_overlay,text_overlay,Story,1,12.68,27454,969,234,207,29,0.052415,Medium,2,31.58%,2.63,budgettravel,travelhacks,travel,4
How to find cheaper flights?,18/12/2025,07:00,Thursday,Travel Hacks,voiceover,voiceover,Question,0,31.2,38430,1926,394,221,155,0.070154,High,4,23.93%,8.49,cheapflights,budgettravel,travel,4
How to: Low-cost itinerary tips,26/11/2025,22:06,Wednesday,Budget Travel,voiceover,voiceover,Tutorial,0,21.54,107109,4488,1195,490,411,0.06147,High,7,15.13%,3.39,travelonabudget,cheaptravel,studyabroad,5
My experience: Common visa rejection reasons,25/11/2025,14:53,Tuesday,Visa Application Tips,text_overlay,text_overlay,Story,0,24.81,40167,1854,478,139,24,0.062116,High,3,15.85%,4.65,visa,travelvisa,workvisa,5
Save money on baggage fees?,30/01/2026,22:13,Friday,Travel Hacks,voiceover,voiceover,Question,0,18.39,74909,3191,388,501,201,0.057149,Medium,3,29.01%,5.5,cheapflights,travelhacks,relocation,5
My experience: Affordable destinations for 2026,27/01/2026,19:41,Tuesday,Budget Travel,text_overlay,text_overlay,Story,0,47.01,92302,3515,399,396,889,0.056326,Medium,9,17.16%,7.08,traveltips,travelonabudget,traveltips,3
Save up to 40% on fees - How to find cheaper flights,26/11/2025,10:58,Wednesday,Travel Hacks,voiceover,voiceover,Statistic,0,7.33,28123,896,235,201,11,0.047755,Medium,1,30.53%,3.35,packinghacks,travelhacks,packinghacks,4
My experience: How to find cheaper flights,25/11/2025,21:00,Tuesday,Travel Hacks,screen_recording,screen_recording,Story,0,45.65,14313,598,148,67,7,0.057291,Medium,1,12.53%,6.74,travelhacks,traveltips,studyabroad,3
What to do in one day?,14/12/2025,11:37,Sunday,Destination Guides,voiceover,voiceover,Question,0,25.24,199138,7335,806,1165,1668,0.055108,Medium,18,17.58%,4.44,travelguide,thingstodo,travel,5
